EBAY,YHOO
39.159999,15.01
39.759999,15.1
40.94,15.36
40.899998,15.36
41.049998,15.65
40.929999,15.3
40.909999,15.47
40.169997,15.34
40.129998,15.36
40.669997,15.36
42.490001,15.49
43.499998,15.65
42.949998,15.74
41.829999,15.52
42.799998,15.61
41.81,15.44
42.499998,15.35
42.290001,15.52
40.779999,15.45
42.01,15.83
41.219997,15.84
41.199998,15.98
40.929999,15.85
40.409999,15.78
40.679998,15.75
39.679998,15.82
39.129998,15.8
39.309999,15.69
39.949997,15.74
38.599997,15.65
39.070001,15.6
40.459999,15.7
43.949998,15.73
44.849999,15.92
44.239997,15.76
43.519997,15.43
43.189996,15.5
43.789997,15.8
45.219998,16.110001
45.599999,15.98
44.299999,15.84
43.889997,15.99
43.769998,15.75
44.499999,15.97
44.769998,16.040001
45.610001,16.219998999999998
44.939997,16.17
44.269998,16.01
43.989997,15.15
45.319998,15.02
45.360001,14.73
44.98,14.76
45.789997,14.99
46.869998,15.03
46.399999,14.96
45.849999,14.97
46.999999,14.92
46.809997,14.87
47.099999,14.92
46.98,14.85
46.939997,14.72
47.489998,14.84
46.549999,14.67
47.469999,14.65
47.359997,14.89
47.159997,15.09
48.909997,15.11
49.239998,15.22
48.530001,15.11
48.330001,15.16
47.989998,15.4
48.880001,15.6
49.969999,15.77
50.479997,15.68
49.959997,15.91
50.389998,15.86
50.079997,15.79
49.469999,15.74
49.309997,16.0
48.030001,15.68
47.539998,15.61
49.119999,16.040001
48.369999,15.98
48.230001,15.83
48.4,15.94
48.589998,16.209999
49.489998,16.27
48.730001,16.09
47.919999,16.030001000000002
46.219998,15.85
46.759997,15.83
47.489998,15.92
47.85,15.88
47.399999,15.68
48.239998,15.92
48.2,16.09
50.829997,16.0
49.969999,15.84
50.15,15.77
49.35,16.67
48.880001,16.549999
48.339998,16.610001
49.509997,16.790001
48.259997,16.84
49.219999,16.950001
48.689998,17.110001
49.35,17.370001000000002
49.489998,17.459999
48.4,17.389999
